region_id;income;spending
1;1680831083925,70;1850569937876,00
3;565950879674,70;621420686572,60
2;456573868370,00;519722917477,20
5;253737479232,00;272349721972,70
4;253393998779,50;265153656574,10
6;240212023951,60;260925755376,10
10;237504613978,60;262357595833,50
11;196794840166,20;209423871097,00
46;188372173022,50;194787306897,80
12;183757076076,70;193598420240,60
14;173961758265,00;186280072322,40
16;165796389769,30;180372100875,10
18;159890039855,80;166990045476,40
25;151632143476,40;173592959579,80
17;150047292793,70;158079263893,40
15;145374272124,30;154378755381,90
8;145335064932,40;159258419955,70
9;137766994844,60;148310313437,90
20;131842070821,10;155083005903,10
21;127162326974,70;145392324694,10
22;126044317181,20;145583289025,10
19;118463198516,80;140465312262,60
23;110828015620,50;115741062781,90
31;104568579233,30;115191714731,10
26;103547445336,10;108979513581,70
24;102550207132,10;102638471586,30
27;98010035877,10;109497546904,20
29;97845401320,90;109973055497,00
30;95753672494,20;99772472318,80
28;95597850974,10;98679887796,10
33;90768365896,90;96020044568,90
39;86168709648,40;91870000063,50
34;84424128292,00;92591062480,10
32;84133808140,80;89691339919,60
40;80322424517,70;85963215984,70
38;79027791767,20;86078050920,80
35;76257640211,90;85857294645,60
43;72486718021,50;77050021943,00
48;71641882591,90;82002742960,40
37;71291181398,70;75030900837,20
45;70348675992,70;77800756157,30
41;69944001018,70;72950220535,50
49;68340805821,40;73411206459,90
36;67716923178,30;65780839454,10
47;64235907268,90;65762898635,70
53;61111430597,50;65089156464,40
52;60607396939,80;63990757688,60
55;59630929750,10;65360035535,80
56;57473674271,30;58769203353,10
57;56649570351,30;59094716992,50
51;56437022749,00;60317008419,20
42;56408823145,40;57865799647,20
58;56389127508,60;58919042428,70
44;53892518847,80;59824673645,70
54;53290589850,10;53860926297,20
64;51975592139,60;55680242225,00
50;51644404284,60;56572718951,80
82;51513847747,60;58595120500,10
60;48177651495,50;51913354206,80
62;44152349814,90;49681166407,30
65;43543899510,00;47696294164,10
63;41757530979,20;44875009209,90
61;40771109444,00;43738251892,80
66;36756590986,80;40189243234,40
59;36662734948,20;42128646989,80
70;35290838507,90;39030888098,10
75;35140733132,40;38430088478,10
67;34790416735,60;37047594094,80
68;33643292991,20;34434230951,30
72;33208637552,00;34900358335,70
78;32384744600,00;30971804100,00
79;31123176200,00;31564131054,70
73;31121738689,00;34465591607,30
77;28997592341,00;29574538338,30
76;28066125068,40;33264613463,30
74;26827754873,70;29433736957,10
71;24485285492,60;25210225912,50
69;24047731050,10;29842991791,30
80;21728692244,10;22542557982,60
81;17636171115,90;18223303717,70
13;17151954964,30;18402948583,90
83;16407077806,00;19390737412,50
84;12658896790,10;13577609566,60
85;11330435714,00;13040881662,80
