name;income;spending
г. Москва;2113359257922,20;2389769938203,90
Московская область;661852408944,10;783439424092,70
г. Санкт-Петербург;562669897520,00;599459892587,40
Республика Татарстан (Татарстан);314306874565,10;329926176720,40
Ханты-Мансийский автономный округ;308812136226,10;298371118138,10
Краснодарский край;294488721552,60;310073668594,30
Свердловская область;289415928627,50;306223286684,50
Красноярский край;271963825270,20;294049557835,70
Республика Саха (Якутия);236439539761,60;243789298802,60
Республика Башкортостан;228825260596,70;231425247296,80
Ямало-Ненецкий автономный округ;210604672831,50;198962091757,50
Ростовская область;209833913151,10;217302692185,40
Челябинская область;203468858370,70;199179470037,90
Кемеровская область;202068271879,40;171545914146,20
Тюменская область;195136305653,10;214409475478,40
Нижегородская область;188304786151,50;193784307249,10
Самарская область;184771156540,40;191158312756,80
Республика Крым;184440859991,90;187484370476,80
Иркутская область;179625198430,30;185995567349,70
Новосибирская область;178398845868,90;181852770726,70
Ленинградская область;157983776028,10;161859952428,40
Сахалинская область;154096548020,60;171297333622,10
Пермский край;149781463580,90;170751627574,40
Приморский край;136930941416,00;135573619103,60
Воронежская область;128206674775,70;128878759168,50
Калининградская область;126149650462,60;127255087271,60
Хабаровский край;123885995115,00;138137474076,60
Волгоградская область;121089615669,70;123581325759,10
Ставропольский край;120360303352,30;125404229876,30
Алтайский край;116346597347,30;122860739814,80
Республика Дагестан;116080538566,90;116743515689,30
Саратовская область;109181072114,80;108083504483,10
Белгородская область;105916957511,00;108531274080,10
Омская область;100628903696,80;101968324572,00
Оренбургская область;97927287809,00;98894855321,10
Тульская область;90888518108,10;94438405937,50
Архангельская область;89215411161,30;92322742018,30
Удмуртская республика;85625125915,40;86552112407,50
Республика Коми;85202150271,80;89594343187,00
Вологодская область;84113837594,70;77101697870,90
Камчатский край;83918628839,30;89868258086,60
Калужская область;82787885665,50;81948377548,80
Ярославская область;82304841803,60;85569819143,60
Чеченская республика;80661152992,00;86001621627,00
Мурманская область;79299960722,10;85354542464,30
Томская область;71118986367,00;76284207794,00
Владимирская область;70466690877,30;73421987970,90
Забайкальский край;69960681982,40;71658409092,50
Тверская область;68211689729,60;72404962557,00
Липецкая область;68133385479,10;73266236713,70
Брянская область;65678424228,00;66555770864,20
Ульяновская область;65153428779,80;65759558998,30
Пензенская область;65078594857,60;66459568136,80
Республика Бурятия;64089746694,20;66922841740,60
Кировская область;63789275038,90;64308824222,00
Курская область;63782813349,70;66716222463,60
Амурская область;62380988630,00;66919828627,60
Рязанская область;62196053764,40;62946153493,00
Чувашская Республика-Чувашия;57891592056,50;59672065202,00
Республика Карелия;54389561019,90;52545274933,30
Астраханская область;52526706482,40;51290715804,50
Тамбовская область;51962886455,60;54149056921,80
Курганская область;47799176790,50;51009225600,50
Смоленская область;47521006475,60;48515198347,00
Ивановская область;44985133837,00;45906405808,40
Республика Мордовия;43708973471,00;53115055993,60
Республика Хакасия;41083165423,20;42902238909,70
Орловская область;40728709078,60;41446858008,60
г. Севастополь;39807439829,60;45225211184,70
Магаданская область;39690988385,80;41912293329,20
Новгородская область;37562369501,60;38448051166,00
Псковская область;37472897690,50;38635844365,50
Костромская область;37296850477,70;37195179922,50
Кабардино-Балкарская Республика;36454601929,60;35968503537,40
Чукотский автономный округ;36307990000,00;36675610300,00
Республика Северная Осетия-Алания;32595680392,80;33501545091,10
Республика Марий Эл;31328230308,50;31101731272,90
Республика Тыва;30549954486,20;31847027660,00
Карачаево-Черкесская Республика;27417000348,10;27506922582,10
Республика Ингушетия;26678053863,00;27172516367,20
Республика Адыгея (Адыгея);22996759848,60;23991390769,90
Ненецкий автономный округ;22731376728,30;22439938688,90
Республика Алтай;21199239525,90;22249053262,10
Республика Калмыкия;15799783462,60;16512130333,90
Еврейская автономная область;12515824174,00;12992922763,60
