name;income;spending;;
г. Москва;3277026641770,00;3860352752747,80;;
г. Санкт-Петербург;1110050709639,00;1071984159165,30;;
Московская область;1061313871646,00;1182766769240,40;;
Республика Татарстан (Татарстан);509401525040,70;538386484910,70;;
Краснодарский край;475705482929,40;545590741939,20;;
Свердловская область;451529671589,00;472115473259,50;;
Красноярский край;430607587411,60;473471406175,20;;
Ямало-Ненецкий автономный округ;360598934144,10;364067855606,20;;
Кемеровская область;357773528096,20;326696913648,10;;
Ханты-Мансийский автономный округ;355498187679,40;398494365169,70;;
Республика Саха (Якутия);348642854675,30;397527678066,10;;
Ростовская область;332623363434,80;363884532854,70;;
Республика Алтай;317463025886,00;38356495519,00;;
Самарская область;317387349695,70;378899481379,70;;
Новосибирская область;306063154255,50;343228614153,50;;
Нижегородская область;305318069097,20;362195275932,30;;
Иркутская область;295317123911,00;323264557342,40;;
Челябинская область;280169265329,00;344392785973,50;;
Республика Крым;276562554460,40;293935372939,70;;
Тюменская область;250833738246,40;363139706901,20;;
Пермский край;231787849335,30;291769355981,50;;
Ленинградская область;224422229938,90;250633285095,20;;
Приморский край;223717993343,70;244392829356,70;;
Республика Дагестан;217508658158,70;242902290153,50;;
Сахалинская область;214725619864,50;235130284776,20;;
Воронежская область;195302591619,60;228231820481,00;;
Ставропольский край;190691813219,40;213547025065,00;;
Саратовская область;187964967418,50;196956148150,50;;
Хабаровский край;186966806446,10;195215881597,10;;
Алтайский край;179318562029,90;208594382233,10;;
Волгоградская область;175842525051,10;186457660577,00;;
Белгородская область;161828789443,80;206514483374,60;;
Оренбургская область;161482687377,70;169197412726,50;;
Омская область;155185594345,80;172767738796,30;;
Архангельская область;144360211911,50;171945526911,90;;
Вологодская область;144097687272,40;145251211810,20;;
Чеченская республика;142967108425,50;158603816987,30;;
Тульская область;140125459005,80;152942126869,40;;
Калининградская область;132389347296,90;147644301116,90;;
Удмуртская республика;128532698193,80;138465364381,00;;
Мурманская область;127712526878,50;168291360409,60;;
Забайкальский край;126212888458,80;130847310383,50;;
Камчатский край;123093209100,00;131857825624,30;;
Амурская область;122332018677,90;137994843758,10;;
Ярославская область;122054814791,10;126233028815,60;;
Республика Башкортостан;120957272581,90;355628482996,20;;
Тверская область;116708292322,80;123659486810,10;;
Республика Коми;116311450473,00;142250236413,80;;
Томская область;111729633083,30;115409024956,20;;
Курская область;108572953188,00;136450982892,20;;
Кировская область;106076684758,80;112973850800,70;;
Владимирская область;105695633939,80;126194368176,10;;
Калужская область;103136556227,20;114588136712,70;;
Рязанская область;102945197074,20;110152216618,20;;
Липецкая область;100084967869,70;125861432464,60;;
Брянская область;99241532325,90;113932443949,30;;
Ульяновская область;98574229858,40;106985223107,40;;
Пензенская область;93789126896,40;102161890236,90;;
Астраханская область;90289525559,10;95207674922,60;;
Чувашская Республика-Чувашия;90091154170,10;95383745147,20;;
Республика Карелия;83520055727,60;94352974089,20;;
Республика Мордовия;77136807164,80;71933270088,80;;
Курганская область;75352350444,80;82012952584,50;;
Тамбовская область;75010717768,10;82242740444,20;;
Смоленская область;72157814562,00;75332749448,90;;
Ивановская область;71574608723,50;77407727626,80;;
Кабардино-Балкарская Республика;66768722665,00;70654724651,80;;
Новгородская область;63753072560,60;67925526521,20;;
г. Севастополь;63087167292,20;80201225228,00;;
Республика Хакасия;61231151433,10;64134432294,10;;
Республика Тыва;60850983808,40;63451494714,20;;
Магаданская область;60281061254,80;64717643781,70;;
Псковская область;59982162555,40;66046031472,70;;
Республика Северная Осетия-Алания;59020531825,80;64493415524,70;;
Орловская область;59014992641,60;64577458376,30;;
Костромская область;58704325059,80;64538492038,80;;
Республика Марий Эл;54174619072,10;58625099614,60;;
Чукотский автономный округ;53163321900,00;60999307700,00;;
Республика Ингушетия;50718517886,20;51472561246,30;;
Карачаево-Черкесская Республика;44226840291,10;46276471486,30;;
Республика Адыгея (Адыгея);42406760245,20;45393311005,40;;
Республика Бурятия;35541578365,40;135601684691,70;;
Ненецкий автономный округ;34100803977,00;32905634941,60;;
Республика Калмыкия;27611933279,30;29798641232,30;;
Еврейская автономная область;20937842865,60;25310076595,80;;
