id;region_id;count
1;1;13015126
2;3;8542257
3;5;5832042
4;2;5607916
5;6;4263691
6;12;4192322
7;46;4091621
8;4;4000084
9;18;3421556
10;24;3186902
11;14;3164384
12;16;3108918
13;27;2902455
14;7;2856326
15;15;2797492
16;9;2592013
17;21;2525149
18;31;2492808
19;28;2431012
20;17;2363447
21;26;2302617
22;30;2154932
23;22;2006022
24;19;1931091
25;33;1855781
26;34;1851537
27;23;1841961
28;10;1713763
29;20;1602672
30;32;1536466
31;37;1514603
32;38;1496690
33;40;1448946
34;52;1342235
35;29;1292764
36;58;1261103
37;47;1226038
38;45;1205637
39;57;1191661
40;60;1183908
41;56;1164635
42;51;1149176
43;36;1138424
44;55;1138140
45;54;1098579
46;50;1078156
47;53;1073252
48;49;1062726
49;39;1030979
50;42;1000520
51;11;997833
52;64;979171
53;82;977951
54;35;974604
55;59;957772
56;66;924114
57;67;904338
58;65;886900
59;62;781440
60;63;772332
61;44;763570
62;48;734363
63;75;710023
64;74;685393
65;77;676351
66;41;665240
67;73;596899
68;68;581578
69;76;577996
70;69;547452
71;70;532988
72;61;532384
73;79;511316
74;8;511244
75;81;498285
76;80;469096
77;25;466009
78;71;336251
79;43;292574
80;84;266432
81;13;210808
82;85;149580
83;72;135907
84;78;47906
85;83;41426
