id;name;district_id
30;Алтайский край;7
44;Амурская область;8
35;Архангельская область;2
59;Астраханская область;3
32;Белгородская область;1
56;Брянская область;1
52;Владимирская область;1
31;Волгоградская область;3
36;Вологодская область;2
26;Воронежская область;1
1;г. Москва;1
2;г. Санкт-Петербург;2
69;г. Севастополь;3
85;Еврейская автономная область;8
42;Забайкальский край;8
66;Ивановская область;1
17;Иркутская область;7
67;Кабардино-Балкарская Республика;4
39;Калининградская область;2
53;Калужская область;1
43;Камчатский край;8
80;Карачаево-Черкесская Республика;4
9;Кемеровская область;7
51;Кировская область;5
76;Костромская область;1
5;Краснодарский край;3
7;Красноярский край;7
63;Курганская область;6
50;Курская область;1
22;Ленинградская область;2
55;Липецкая область;1
72;Магаданская область;8
3;Московская область;1
41;Мурманская область;2
83;Ненецкий автономный округ;2
16;Нижегородская область;5
68;Новгородская область;2
15;Новосибирская область;7
34;Омская область;7
33;Оренбургская область;5
75;Орловская область;1
58;Пензенская область;5
21;Пермский край;5
23;Приморский край;8
73;Псковская область;2
81;Республика Адыгея (Адыгея);3
13;Республика Алтай;7
46;Республика Башкортостан;5
82;Республика Бурятия;8
24;Республика Дагестан;4
79;Республика Ингушетия;4
84;Республика Калмыкия;3
61;Республика Карелия;2
48;Республика Коми;2
19;Республика Крым;3
77;Республика Марий Эл;5
62;Республика Мордовия;5
11;Республика Саха (Якутия);8
74;Республика Северная Осетия-Алания;4
4;Республика Татарстан (Татарстан);5
71;Республика Тыва;7
70;Республика Хакасия;7
12;Ростовская область;3
54;Рязанская область;1
14;Самарская область;5
28;Саратовская область;5
25;Сахалинская область;8
6;Свердловская область;6
65;Смоленская область;1
27;Ставропольский край;4
64;Тамбовская область;1
47;Тверская область;1
49;Томская область;7
38;Тульская область;1
20;Тюменская область;6
40;Удмуртская республика;5
57;Ульяновская область;5
29;Хабаровский край;8
10;Ханты-Мансийский автономный округ;6
18;Челябинская область;6
37;Чеченская республика;4
60;Чувашская Республика-Чувашия;5
78;Чукотский автономный округ;8
8;Ямало-Ненецкий автономный округ;6
45;Ярославская область;1
